SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,11,001,District of Columbia,District of Columbia,1,0,601723,284222,317501,125404,125861,141181,169198,1668,1596,9124,12581,409,361,6436,7904,130303,131836,145042,174135,3832,4252,11643,15726,775,739,255964,291010,104155,106234,137017,165034,634,708,8846,12305,105,115,5207,6614,108024,111132,140093,169134,2203,2744,11109,15138,394,429,28258,26491,21249,19627,4164,4164,1034,888,278,276,304,246,1229,1290,22279,20704,4949,5001,1629,1508,534,588,381,310
050,11,001,District of Columbia,District of Columbia,1,1,32613,16533,16080,5575,5412,9617,9361,114,120,364,314,21,32,842,841,6289,6128,10076,9834,254,279,802,739,43,57,14265,13863,4003,3879,9199,8967,22,25,337,293,2,7,702,692,4600,4469,9570,9349,108,129,736,663,18,27,2268,2217,1572,1533,418,394,92,95,27,21,19,25,140,149,1689,1659,506,485,146,150,66,76,25,30
050,11,001,District of Columbia,District of Columbia,1,2,26147,13198,12949,3642,3454,8710,8634,82,97,219,275,43,21,502,468,4041,3830,9065,8943,198,220,413,459,55,37,11525,11339,2515,2338,8375,8348,18,20,207,258,2,4,408,371,2832,2627,8659,8593,92,102,384,419,14,15,1673,1610,1127,1116,335,286,64,77,12,17,41,17,94,97,1209,1203,406,350,106,118,29,40,41,22
050,11,001,District of Columbia,District of Columbia,1,3,25041,12641,12400,2590,2453,9452,9274,83,75,167,218,19,17,330,363,2840,2726,9693,9544,173,187,281,348,32,24,11278,11166,1659,1613,9160,9025,25,36,159,204,0,3,275,285,1861,1816,9355,9239,96,110,267,313,10,7,1363,1234,931,840,292,249,58,39,8,14,19,14,55,78,979,910,338,305,77,77,14,35,22,17
050,11,001,District of Columbia,District of Columbia,1,4,39919,18951,20968,5866,6768,11956,12770,108,113,503,686,29,17,489,614,6239,7207,12284,13191,248,314,700,945,67,46,17161,19157,4593,5498,11637,12414,33,54,480,664,9,6,409,521,4900,5867,11913,12769,146,210,654,904,39,28,1790,1811,1273,1270,319,356,75,59,23,22,20,11,80,93,1339,1340,371,422,102,104,46,41,28,18
050,11,001,District of Columbia,District of Columbia,1,5,64110,28801,35309,15376,18944,11111,13194,211,137,1343,1951,54,36,706,1047,15925,19779,11503,13777,427,407,1670,2454,104,82,25581,32415,12936,16746,10706,12787,65,56,1306,1910,20,16,548,900,13351,17465,11003,13267,204,252,1594,2384,55,55,3220,2894,2440,2198,405,407,146,81,37,41,34,20,158,147,2574,2314,500,510,223,155,76,70,49,27
050,11,001,District of Columbia,District of Columbia,1,6,69649,32167,37482,19868,21989,9665,11859,205,185,1553,2320,65,50,811,1079,20537,22910,10054,12383,437,461,1921,2834,118,95,28385,34071,16896,19363,9240,11428,69,62,1511,2286,24,18,645,914,17427,20140,9518,11858,218,256,1849,2761,68,57,3782,3411,2972,2626,425,431,136,123,42,34,41,32,166,165,3110,2770,536,525,219,205,72,73,50,38
050,11,001,District of Columbia,District of Columbia,1,7,55096,26617,28479,15598,14977,8712,10573,167,132,1423,1930,42,50,675,817,16159,15645,9048,10989,378,346,1711,2321,77,98,23200,25586,12915,12752,8311,10197,55,53,1391,1899,8,18,520,667,13343,13284,8551,10527,185,199,1648,2255,33,60,3417,2893,2683,2225,401,376,112,79,32,31,34,32,155,150,2816,2361,497,462,193,147,63,66,44,38
050,11,001,District of Columbia,District of Columbia,1,8,42925,21447,21478,11435,9580,8317,9929,131,130,1051,1275,38,20,475,544,11793,9992,8593,10251,308,301,1222,1500,72,51,18704,19210,9272,7834,7993,9641,29,42,1024,1249,9,3,377,441,9548,8161,8208,9900,152,159,1179,1447,38,26,2743,2268,2163,1746,324,288,102,88,27,26,29,17,98,103,2245,1831,385,351,156,142,43,53,34,25
050,11,001,District of Columbia,District of Columbia,1,9,37734,19136,18598,9067,7001,8985,10302,113,110,599,750,29,31,343,404,9325,7296,9177,10588,256,275,711,865,58,59,16975,16902,7387,5752,8691,10031,42,48,583,733,8,11,264,327,7575,5983,8838,10261,143,174,682,835,30,33,2161,1696,1680,1249,294,271,71,62,16,17,21,20,79,77,1750,1313,339,327,113,101,29,30,28,26
050,11,001,District of Columbia,District of Columbia,1,10,38539,19534,19005,7730,5766,10887,12186,119,109,427,561,25,26,346,357,7962,5981,11119,12449,302,297,521,659,41,51,17779,17467,6385,4599,10653,11943,59,56,408,550,4,6,270,313,6556,4781,10837,12178,196,218,488,639,17,28,1755,1538,1345,1167,234,243,60,53,19,11,21,20,76,44,1406,1200,282,271,106,79,33,20,24,23
050,11,001,District of Columbia,District of Columbia,1,11,37164,18114,19050,6359,5514,11012,12593,92,98,368,506,13,17,270,322,6533,5718,11199,12831,234,256,437,603,30,39,16723,17775,5314,4556,10784,12393,50,56,351,496,5,6,219,268,5449,4721,10940,12592,167,183,407,578,17,26,1391,1275,1045,958,228,200,42,42,17,10,8,11,51,54,1084,997,259,239,67,73,30,25,13,13
050,11,001,District of Columbia,District of Columbia,1,12,34274,15994,18280,5909,5747,9462,11652,77,82,314,489,9,16,223,294,6021,5912,9626,11893,202,251,367,547,29,28,15073,17227,5196,4984,9309,11463,53,48,307,474,5,6,203,252,5291,5114,9465,11674,166,194,355,524,25,14,921,1053,713,763,153,189,24,34,7,15,4,10,20,42,730,798,161,219,36,57,12,23,4,14
050,11,001,District of Columbia,District of Columbia,1,13,29703,13398,16305,5468,5884,7447,9639,59,68,266,450,11,8,147,256,5546,6038,7553,9832,145,216,303,504,19,24,12687,15456,4927,5273,7326,9473,38,39,261,444,4,2,131,225,4994,5402,7421,9644,116,176,295,491,11,17,711,849,541,611,121,166,21,29,5,6,7,6,16,31,552,636,132,188,29,40,8,13,8,7
050,11,001,District of Columbia,District of Columbia,1,14,21488,9605,11883,4106,4253,5146,7124,55,43,173,286,9,17,116,160,4175,4350,5230,7257,128,147,194,313,16,22,9165,11282,3799,3799,5060,7028,37,31,171,277,3,8,95,139,3852,3879,5129,7146,96,126,190,299,9,12,440,601,307,454,86,96,18,12,2,9,6,9,21,21,323,471,101,111,32,21,4,14,7,10
050,11,001,District of Columbia,District of Columbia,1,15,15481,6671,8810,2506,2523,3951,5903,24,37,133,219,0,3,57,125,2541,2602,3992,5996,57,110,149,243,4,12,6394,8357,2308,2185,3895,5821,15,30,129,218,0,1,47,102,2335,2245,3932,5901,40,89,144,239,3,10,277,453,198,338,56,82,9,7,4,1,0,2,10,23,206,357,60,95,17,21,5,4,1,2
050,11,001,District of Columbia,District of Columbia,1,16,11820,4782,7038,1751,1740,2886,5061,14,23,92,143,1,0,38,71,1779,1783,2914,5118,36,68,101,159,3,3,4631,6760,1632,1522,2858,5010,12,20,92,143,1,0,36,65,1658,1563,2886,5062,34,61,101,157,1,3,151,278,119,218,28,51,2,3,0,0,0,0,2,6,121,220,28,56,2,7,0,2,2,0
050,11,001,District of Columbia,District of Columbia,1,17,9705,3516,6189,1263,1615,2141,4395,7,15,68,96,1,0,36,68,1287,1651,2171,4453,25,55,72,107,3,4,3402,5959,1185,1445,2111,4345,5,11,68,95,1,0,32,63,1207,1476,2138,4399,21,48,71,105,3,4,114,230,78,170,30,50,2,4,0,1,0,0,4,5,80,175,33,54,4,7,1,2,0,0
